GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01
9700000US4204230,4204230,"Bristol Township School District, Pennsylvania",19705,485,1555,258,18150,552
9700000US4204260,4204260,"Brockway Area School District, Pennsylvania",3043,112,306,71,2737,119
9700000US4204320,4204320,"Brookville Area School District, Pennsylvania",4953,140,576,77,4377,147
9700000US4204500,4204500,"Burgettstown Area School District, Pennsylvania",4032,129,380,93,3652,157
9700000US4204530,4204530,"Burrell School District, Pennsylvania",5935,228,610,141,5325,285
9700000US4204590,4204590,"Butler Area School District, Pennsylvania",22937,359,3165,278,19772,376
9700000US4204710,4204710,"California Area School District, Pennsylvania",4319,273,544,124,3775,266
9700000US4204740,4204740,"Cambria Heights School District, Pennsylvania",3955,130,433,89,3522,122
9700000US4204830,4204830,"Cameron County School District, Pennsylvania",2144,90,314,60,1830,80
9700000US4204860,4204860,"Camp Hill School District, Pennsylvania",3435,114,122,62,3313,136
9700000US4204890,4204890,"Canon-McMillan School District, Pennsylvania",13930,253,942,205,12988,323
9700000US4204920,4204920,"Canton Area School District, Pennsylvania",2508,120,413,78,2095,113
9700000US4204980,4204980,"Carbondale Area School District, Pennsylvania",4700,238,926,153,3774,217
9700000US4205010,4205010,"Carlisle Area School District, Pennsylvania",14401,443,1292,229,13109,456
9700000US4205040,4205040,"Carlynton School District, Pennsylvania",6798,188,879,157,5919,260
9700000US4205070,4205070,"Carmichaels Area School District, Pennsylvania",3014,157,497,118,2517,190
9700000US4205160,4205160,"Catasauqua Area School District, Pennsylvania",4537,202,505,167,4032,255
9700000US4205190,4205190,"Centennial School District, Pennsylvania",18494,381,1016,169,17478,426
9700000US4205310,4205310,"Central Bucks School District, Pennsylvania",40288,566,738,211,39550,601
9700000US4205340,4205340,"Central Cambria School District, Pennsylvania",5340,206,485,129,4855,249
9700000US4205370,4205370,"Central Columbia School District, Pennsylvania",6165,169,461,113,5704,193
9700000US4205400,4205400,"Central Dauphin School District, Pennsylvania",36388,600,2183,315,34205,660
9700000US4205430,4205430,"Central Greene School District, Pennsylvania",5054,244,721,120,4333,251
9700000US4205460,4205460,"Crestwood School District, Pennsylvania",7589,192,386,85,7203,214
9700000US4205490,4205490,"Central York School District, Pennsylvania",13366,293,665,169,12701,351
9700000US4205550,4205550,"Chambersburg Area School District, Pennsylvania",26344,429,2577,347,23767,518
9700000US4205640,4205640,"Charleroi School District, Pennsylvania",5093,189,822,129,4271,205
9700000US4205700,4205700,"Chartiers Valley School District, Pennsylvania",13857,386,583,118,13274,380
9700000US4205730,4205730,"Chartiers-Houston School District, Pennsylvania",3647,159,212,71,3435,153
9700000US4205760,4205760,"Cheltenham Township School District, Pennsylvania",14492,378,754,158,13738,403
9700000US4205860,4205860,"Chester-Upland School District, Pennsylvania",14329,426,5010,318,9319,380
9700000US4205880,4205880,"Chestnut Ridge School District, Pennsylvania",4387,194,405,90,3982,226
9700000US4205910,4205910,"Chichester School District, Pennsylvania",9164,283,1051,170,8113,346
9700000US4206030,4206030,"Clairton City School District, Pennsylvania",3216,187,937,167,2279,192
9700000US4206060,4206060,"Clarion Area School District, Pennsylvania",3213,198,563,152,2650,206
9700000US4206090,4206090,"Clarion-Limestone Area School District, Pennsylvania",3260,179,444,125,2816,174
9700000US4206120,4206120,"Claysburg-Kimmel School District, Pennsylvania",2256,133,439,87,1817,151
9700000US4206150,4206150,"Clearfield Area School District, Pennsylvania",8191,263,1291,182,6900,287
9700000US4206240,4206240,"Coatesville Area School District, Pennsylvania",23497,559,2212,279,21285,576
9700000US4206270,4206270,"Cocalico School District, Pennsylvania",8309,230,554,151,7755,281
9700000US4206360,4206360,"Columbia Borough School District, Pennsylvania",4079,136,716,133,3363,192
9700000US4206390,4206390,"Commodore Perry School District, Pennsylvania",1661,71,169,32,1492,76
9700000US4206420,4206420,"Conemaugh Township Area School District, Pennsylvania",3449,155,233,97,3216,174
9700000US4206430,4206430,"Conemaugh Valley School District, Pennsylvania",2705,101,354,61,2351,100
9700000US4206480,4206480,"Conestoga Valley School District, Pennsylvania",11877,312,856,167,11021,352
9700000US4206550,4206550,"Conewago Valley School District, Pennsylvania",10376,317,736,172,9640,353
9700000US4206590,4206590,"Conneaut School District, Pennsylvania",7302,207,937,117,6365,222
9700000US4206660,4206660,"Connellsville Area School District, Pennsylvania",14258,348,2359,225,11899,409
9700000US4206780,4206780,"Conrad Weiser Area School District, Pennsylvania",7216,211,420,125,6796,265
9700000US4206810,4206810,"Cornell School District, Pennsylvania",3229,210,523,118,2706,236
9700000US4206840,4206840,"Cornwall-Lebanon School District, Pennsylvania",13533,316,700,190,12833,402
9700000US4206860,4206860,"Corry Area School District, Pennsylvania",5429,164,1019,163,4410,209
9700000US4206930,4206930,"Coudersport Area School District, Pennsylvania",2337,110,231,43,2106,110
9700000US4206960,4206960,"Council Rock School District, Pennsylvania",26012,365,393,113,25619,391
9700000US4207050,4207050,"Cranberry Area School District, Pennsylvania",3979,166,506,106,3473,176
9700000US4207080,4207080,"Crawford Central School District, Pennsylvania",12833,326,2237,271,10596,371
9700000US4207110,4207110,"Cumberland Valley School District, Pennsylvania",22764,404,624,158,22140,434
9700000US4207140,4207140,"Curwensville Area School District, Pennsylvania",2998,112,442,77,2556,111
9700000US4207200,4207200,"Dallas School District, Pennsylvania",7998,244,376,144,7622,303
9700000US4207230,4207230,"Dallastown Area School District, Pennsylvania",16840,370,924,202,15916,412
9700000US4207290,4207290,"Daniel Boone Area School District, Pennsylvania",7593,206,374,132,7219,239
9700000US4207320,4207320,"Danville Area School District, Pennsylvania",7623,203,630,136,6993,213
9700000US4207530,4207530,"Delaware Valley School District, Pennsylvania",10716,416,894,178,9822,457
9700000US4207540,4207540,"Deer Lakes School District, Pennsylvania",5831,178,366,110,5465,213
9700000US4207560,4207560,"Derry Area School District, Pennsylvania",7326,238,947,167,6379,300
9700000US4207590,4207590,"Derry Township School District, Pennsylvania",10026,333,444,138,9582,358
9700000US4207650,4207650,"Donegal School District, Pennsylvania",8257,294,728,209,7529,371
9700000US4207680,4207680,"Dover Area School District, Pennsylvania",10164,288,783,166,9381,335
9700000US4207710,4207710,"Downingtown Area School District, Pennsylvania",24928,362,570,151,24358,389
9700000US4207830,4207830,"DuBois Area School District, Pennsylvania",12744,336,1773,284,10971,410
9700000US4207980,4207980,"Dunmore School District, Pennsylvania",5845,230,493,139,5352,231
9700000US4208010,4208010,"Duquesne City School District, Pennsylvania",2437,190,994,188,1443,188
9700000US4208060,4208060,"East Allegheny School District, Pennsylvania",7122,280,1466,213,5656,319
9700000US4208280,4208280,"Forest Area School District, Pennsylvania",2227,458,270,114,1957,360
9700000US4208460,4208460,"Eastern Lebanon County School District, Pennsylvania",7859,250,549,153,7310,309
9700000US4208490,4208490,"East Lycoming School District, Pennsylvania",3940,133,327,76,3613,159
9700000US4208550,4208550,"East Penn School District, Pennsylvania",21242,418,794,161,20448,455
9700000US4208580,4208580,"East Pennsboro Area School District, Pennsylvania",8262,262,519,174,7743,296
9700000US4208670,4208670,"East Stroudsburg Area School District, Pennsylvania",16301,578,2269,376,14032,644
9700000US4208790,4208790,"Eastern York School District, Pennsylvania",8143,279,785,197,7358,358
9700000US4208820,4208820,"Eastern Lancaster County School District, Pennsylvania",10835,297,468,150,10367,304
9700000US4208850,4208850,"Easton Area School District, Pennsylvania",23352,452,2583,327,20769,552
9700000US4209090,4209090,"Elizabeth Forward School District, Pennsylvania",7638,187,639,144,6999,248
9700000US4209120,4209120,"Elizabethtown Area School District, Pennsylvania",11206,408,684,173,10522,381
9700000US4209150,4209150,"Elk Lake School District, Pennsylvania",2977,120,279,51,2698,109
9700000US4209240,4209240,"Ellwood City Area School District, Pennsylvania",6020,217,942,144,5078,222
9700000US4209270,4209270,"Ephrata Area School District, Pennsylvania",13149,301,839,194,12310,345
9700000US4209300,4209300,"Erie City School District, Pennsylvania",40894,682,10783,574,30111,815
9700000US4209360,4209360,"Everett Area School District, Pennsylvania",4047,173,672,128,3375,183
9700000US4209480,4209480,"Exeter Township School District, Pennsylvania",10211,212,466,146,9745,291
9700000US4209540,4209540,"Fairfield Area School District, Pennsylvania",2970,136,100,43,2870,130
9700000US4209570,4209570,"Fairview School District, Pennsylvania",3705,122,222,103,3483,144
9700000US4209600,4209600,"Karns City Area School District, Pennsylvania",4031,129,572,75,3459,121
9700000US4209660,4209660,"Fannett-Metal School District, Pennsylvania",1617,142,76,32,1541,136
9700000US4209690,4209690,"Farrell Area School District, Pennsylvania",2369,191,565,111,1804,199
9700000US4209750,4209750,"Ferndale Area School District, Pennsylvania",2187,115,426,70,1761,113
9700000US4209780,4209780,"Fleetwood Area School District, Pennsylvania",6382,181,365,123,6017,212
9700000US4209870,4209870,"Forbes Road School District, Pennsylvania",1202,73,96,26,1106,73
9700000US4209930,4209930,"Forest City Regional School District, Pennsylvania",2379,140,192,44,2187,143
9700000US4209940,4209940,"Forest Hills School District, Pennsylvania",5027,252,496,121,4531,253
9700000US4209960,4209960,"Fort Cherry School District, Pennsylvania",3443,137,348,95,3095,172
9700000US4209990,4209990,"Fort LeBoeuf School District, Pennsylvania",5599,202,356,104,5243,217
9700000US4210070,4210070,"Fox Chapel Area School District, Pennsylvania",11631,284,990,158,10641,329
9700000US4210110,4210110,"North Schuylkill School District, Pennsylvania",6541,240,929,141,5612,270
9700000US4210115,4210115,"North Star School District, Pennsylvania",3618,181,426,96,3192,191
9700000US4210200,4210200,"Franklin Area School District, Pennsylvania",6876,192,1075,120,5801,215
9700000US4210230,4210230,"Franklin Regional School District, Pennsylvania",9460,247,381,109,9079,253
9700000US4210350,4210350,"Frazier School District, Pennsylvania",3364,174,489,108,2875,181
9700000US4210380,4210380,"Freedom Area School District, Pennsylvania",4723,167,541,128,4182,199
9700000US4210440,4210440,"Freeport Area School District, Pennsylvania",4621,150,336,82,4285,178
9700000US4210530,4210530,"Galeton Area School District, Pennsylvania",1268,77,240,46,1028,66
9700000US4210590,4210590,"Garnet Valley School District, Pennsylvania",10272,251,221,100,10051,266
9700000US4210620,4210620,"Gateway School District, Pennsylvania",14128,305,1135,259,12993,360
9700000US4210650,4210650,"General McLane School District, Pennsylvania",6722,363,700,173,6022,404
9700000US4210710,4210710,"Gettysburg Area School District, Pennsylvania",10197,280,847,204,9350,334
9700000US4210740,4210740,"Girard School District, Pennsylvania",4306,228,532,125,3774,278
9700000US4210830,4210830,"Glendale School District, Pennsylvania",2205,111,421,70,1784,106
9700000US4210860,4210860,"Governor Mifflin School District, Pennsylvania",12970,304,821,193,12149,370
9700000US4210870,4210870,"Great Valley School District, Pennsylvania",10902,313,171,97,10731,329
9700000US4210920,4210920,"Greensburg Salem School District, Pennsylvania",11929,274,1679,254,10250,343
9700000US4210950,4210950,"Greater Johnstown School District, Pennsylvania",13089,354,3786,278,9303,401
9700000US4210980,4210980,"Greater Latrobe School District, Pennsylvania",12514,345,1132,186,11382,416
9700000US4211010,4211010,"Greencastle-Antrim School District, Pennsylvania",7393,224,257,106,7136,229
9700000US4211160,4211160,"Greenville Area School District, Pennsylvania",4267,199,652,114,3615,210
9700000US4211190,4211190,"Greenwood School District, Pennsylvania",2102,80,161,32,1941,82
9700000US4211220,4211220,"Grove City Area School District, Pennsylvania",6047,293,613,141,5434,270
9700000US4211310,4211310,"Halifax Area School District, Pennsylvania",3086,134,227,80,2859,146
9700000US4211340,4211340,"Hamburg Area School District, Pennsylvania",6948,198,519,129,6429,221
9700000US4211400,4211400,"Hampton Township School District, Pennsylvania",7004,213,165,69,6839,215
9700000US4211420,4211420,"Hanover Area School District, Pennsylvania",6758,213,1146,162,5612,260
9700000US4211450,4211450,"Hanover Public School District, Pennsylvania",6571,241,729,171,5842,313
9700000US4211490,4211490,"Harbor Creek School District, Pennsylvania",5935,228,309,86,5626,233
9700000US4211520,4211520,"Harmony Area School District, Pennsylvania",878,63,170,30,708,63
9700000US4211580,4211580,"Harrisburg City School District, Pennsylvania",20726,503,6189,429,14537,534
9700000US4211610,4211610,"Hatboro-Horsham School District, Pennsylvania",12408,277,461,140,11947,335
9700000US4211670,4211670,"Haverford Township School District, Pennsylvania",17659,301,245,92,17414,301
9700000US4211700,4211700,"Hazleton Area School District, Pennsylvania",29341,495,4824,390,24517,587
9700000US4211730,4211730,"Saucon Valley School District, Pennsylvania",6500,208,289,107,6211,231
9700000US4211760,4211760,"Hempfield Area School District, Pennsylvania",20418,490,1732,236,18686,533
9700000US4211790,4211790,"Hempfield School District, Pennsylvania",18514,341,1257,260,17257,406
9700000US4211820,4211820,"Hermitage School District, Pennsylvania",7237,239,751,174,6486,314
9700000US4211880,4211880,"Highlands School District, Pennsylvania",8764,247,1194,198,7570,297
9700000US4211940,4211940,"Hollidaysburg Area School District, Pennsylvania",11301,292,909,181,10392,356
9700000US4212030,4212030,"Hopewell Area School District, Pennsylvania",7485,203,521,128,6964,225
9700000US4212090,4212090,"Huntingdon Area School District, Pennsylvania",6866,257,995,155,5871,248
9700000US4212150,4212150,"Indiana Area School District, Pennsylvania",12837,450,1244,210,11593,459
9700000US4212170,4212170,"Interboro School District, Pennsylvania",9376,297,694,202,8682,349
9700000US4212210,4212210,"Iroquois School District, Pennsylvania",2684,136,345,92,2339,152
9700000US4212300,4212300,"Jamestown Area School District, Pennsylvania",1794,103,280,57,1514,96
9700000US4212330,4212330,"Jeannette City School District, Pennsylvania",4448,203,839,163,3609,259
9700000US4212390,4212390,"Jefferson-Morgan School District, Pennsylvania",2529,115,392,90,2137,161
9700000US4212420,4212420,"Jenkintown School District, Pennsylvania",1936,128,0,10,1936,128
9700000US4212480,4212480,"Jersey Shore Area School District, Pennsylvania",7068,228,708,142,6360,235
9700000US4212540,4212540,"Jim Thorpe Area School District, Pennsylvania",5914,294,433,153,5481,319
9700000US4212570,4212570,"Johnsonburg Area School District, Pennsylvania",2061,122,219,64,1842,127
9700000US4212600,4212600,"Juniata County School District, Pennsylvania",9027,207,854,149,8173,221
9700000US4212630,4212630,"Juniata Valley School District, Pennsylvania",2155,98,195,48,1960,108
9700000US4212660,4212660,"Kane Area School District, Pennsylvania",3239,147,424,82,2815,153
9700000US4212690,4212690,"Kennett Consolidated School District, Pennsylvania",9786,330,274,98,9512,353
9700000US4212720,4212720,"Keystone School District, Pennsylvania",3050,101,285,57,2765,107
9700000US4212725,4212725,"Keystone Central School District, Pennsylvania",14064,269,1998,206,12066,289
9700000US4212750,4212750,"Keystone Oaks School District, Pennsylvania",9632,252,849,174,8783,308
9700000US4212840,4212840,"Kiski Area School District, Pennsylvania",11943,256,1380,195,10563,312
9700000US4212930,4212930,"Kutztown Area School District, Pennsylvania",5898,291,289,100,5609,294
9700000US4212990,4212990,"Lackawanna Trail School District, Pennsylvania",3274,128,268,51,3006,132
9700000US4213020,4213020,"Lake-Lehman School District, Pennsylvania",5848,182,394,98,5454,197
9700000US4213050,4213050,"Lakeland School District, Pennsylvania",5148,180,428,91,4720,220
9700000US4213080,4213080,"Lakeview School District, Pennsylvania",3351,104,336,57,3015,97
9700000US4213110,4213110,"Lampeter-Strasburg School District, Pennsylvania",8671,290,296,113,8375,293
9700000US4213140,4213140,"Lancaster School District, Pennsylvania",28559,645,7265,477,21294,672
9700000US4213290,4213290,"Homer-Center School District, Pennsylvania",2588,143,410,136,2178,184
9700000US4213320,4213320,"Laurel Highlands School District, Pennsylvania",9544,275,1770,243,7774,358
9700000US4213380,4213380,"Laurel School District, Pennsylvania",3095,123,299,83,2796,154
9700000US4213440,4213440,"Lebanon School District, Pennsylvania",10311,361,2749,311,7562,405
9700000US4213470,4213470,"Leechburg Area School District, Pennsylvania",2639,116,364,88,2275,127
9700000US4213500,4213500,"Lehighton Area School District, Pennsylvania",7018,253,684,147,6334,262
9700000US4213590,4213590,"Lewisburg Area School District, Pennsylvania",6171,317,500,143,5671,346
9700000US4213710,4213710,"Ligonier Valley School District, Pennsylvania",6864,215,606,111,6258,189
9700000US4213770,4213770,"Penn Cambria School District, Pennsylvania",5234,228,572,75,4662,206
9700000US4213980,4213980,"Littlestown Area School District, Pennsylvania",5663,209,346,119,5317,231
9700000US4214100,4214100,"Lower Dauphin School District, Pennsylvania",9422,275,374,122,9048,319
9700000US4214160,4214160,"Lower Merion School District, Pennsylvania",23957,368,572,124,23385,392
9700000US4214190,4214190,"Lower Moreland Township School District, Pennsylvania",4524,154,104,46,4420,166
9700000US4214250,4214250,"Methacton School District, Pennsylvania",12251,336,294,93,11957,341
9700000US4214310,4214310,"Loyalsock Township School District, Pennsylvania",5125,213,247,102,4878,222
9700000US4214430,4214430,"Mahanoy Area School District, Pennsylvania",3319,200,620,122,2699,231
9700000US4214460,4214460,"Line Mountain School District, Pennsylvania",3634,135,256,63,3378,149
9700000US4214550,4214550,"Manheim Central School District, Pennsylvania",9415,250,376,133,9039,265
9700000US4214580,4214580,"Manheim Township School District, Pennsylvania",15243,324,683,193,14560,393
9700000US4214730,4214730,"Marion Center Area School District, Pennsylvania",3841,138,375,71,3466,151
9700000US4214760,4214760,"Marple Newtown School District, Pennsylvania",12925,308,366,129,12559,318
9700000US4214790,4214790,"Mars Area School District, Pennsylvania",7464,266,185,85,7279,271
9700000US4214850,4214850,"Central Fulton School District, Pennsylvania",2618,89,357,64,2261,88
9700000US4214880,4214880,"McGuffey School District, Pennsylvania",4910,142,475,95,4435,144
9700000US4214940,4214940,"McKeesport Area School District, Pennsylvania",13871,396,3074,308,10797,426
9700000US4215030,4215030,"Mechanicsburg Area School District, Pennsylvania",11585,351,627,154,10958,408
9700000US4215120,4215120,"Mercer Area School District, Pennsylvania",3747,143,533,99,3214,150
9700000US4215150,4215150,"Meyersdale Area School District, Pennsylvania",2722,99,327,61,2395,101
9700000US4215170,4215170,"Mid Valley School District, Pennsylvania",6621,222,727,158,5894,268
9700000US4215210,4215210,"Midd-West School District, Pennsylvania",6404,195,672,92,5732,181
9700000US4215240,4215240,"Middletown Area School District, Pennsylvania",7336,286,798,134,6538,299
9700000US4215270,4215270,"Midland Borough School District, Pennsylvania",1130,110,391,86,739,143
9700000US4215290,4215290,"Mifflin County School District, Pennsylvania",17446,360,2867,336,14579,372
9700000US4215330,4215330,"Millcreek Township School District, Pennsylvania",22326,395,2168,316,20158,572
9700000US4215360,4215360,"Millersburg Area School District, Pennsylvania",2930,184,228,76,2702,204
9700000US4215450,4215450,"Millville Area School District, Pennsylvania",2258,74,159,45,2099,79
9700000US4215480,4215480,"Milton Area School District, Pennsylvania",7150,238,621,186,6529,277
9700000US4215510,4215510,"Minersville Area School District, Pennsylvania",3829,148,498,125,3331,185
9700000US4215540,4215540,"Mohawk Area School District, Pennsylvania",4275,149,490,91,3785,157
9700000US4215600,4215600,"Monessen City School District, Pennsylvania",3603,201,769,127,2834,193
9700000US4215660,4215660,"Montgomery Area School District, Pennsylvania",2305,135,207,50,2098,128
9700000US4215720,4215720,"Montour School District, Pennsylvania",11166,226,426,126,10740,257
9700000US4215750,4215750,"Montoursville Area School District, Pennsylvania",5562,218,369,101,5193,270
9700000US4215810,4215810,"Montrose Area School District, Pennsylvania",4813,164,441,93,4372,162
9700000US4215830,4215830,"Moon Area School District, Pennsylvania",10913,371,568,170,10345,442
9700000US4215900,4215900,"Morrisville Borough School District, Pennsylvania",3586,262,506,137,3080,319
9700000US4215960,4215960,"Moshannon Valley School District, Pennsylvania",2696,159,494,66,2202,132
9700000US4215990,4215990,"Mount Carmel Area School District, Pennsylvania",5750,237,590,136,5160,252
9700000US4216020,4216020,"Mount Union Area School District, Pennsylvania",4063,195,885,141,3178,170
9700000US4216050,4216050,"Mountain View School District, Pennsylvania",3492,145,128,35,3364,148
9700000US4216110,4216110,"Mt. Lebanon School District, Pennsylvania",13920,323,590,142,13330,372
9700000US4216170,4216170,"Mount Pleasant Area School District, Pennsylvania",7628,231,924,151,6704,238
9700000US4216200,4216200,"Muhlenberg School District, Pennsylvania",9382,221,670,149,8712,264
9700000US4216230,4216230,"Muncy School District, Pennsylvania",2983,168,238,102,2745,169
9700000US4216290,4216290,"Greater Nanticoke Area School District, Pennsylvania",7814,292,1484,210,6330,344
9700000US4216380,4216380,"Nazareth Area School District, Pennsylvania",9948,217,316,112,9632,260
9700000US4216410,4216410,"Neshaminy School District, Pennsylvania",25311,441,995,182,24316,492
9700000US4216440,4216440,"Neshannock Township School District, Pennsylvania",4326,190,252,118,4074,184
9700000US4216500,4216500,"Woodland Hills School District, Pennsylvania",22048,536,3571,350,18477,583
9700000US4216530,4216530,"New Brighton Area School District, Pennsylvania",4676,204,1083,176,3593,237
9700000US4216620,4216620,"New Castle Area School District, Pennsylvania",10106,310,2973,287,7133,336
9700000US4216740,4216740,"New Kensington-Arnold School District, Pennsylvania",8270,257,2287,234,5983,311
9700000US4216860,4216860,"New Hope-Solebury School District, Pennsylvania",4673,149,85,66,4588,171
9700000US4216890,4216890,"Newport School District, Pennsylvania",3119,111,461,90,2658,114
9700000US4216980,4216980,"Norristown Area School District, Pennsylvania",25802,520,2890,291,22912,607
9700000US4217010,4217010,"North Allegheny School District, Pennsylvania",19158,392,538,142,18620,422
9700000US4217100,4217100,"Moniteau School District, Pennsylvania",3681,128,421,76,3260,144
9700000US4217130,4217130,"North Clarion County School District, Pennsylvania",1945,96,195,56,1750,101
9700000US4217160,4217160,"North East School District, Pennsylvania",4068,153,575,112,3493,185
9700000US4217220,4217220,"North Hills School District, Pennsylvania",17012,334,787,166,16225,379
9700000US4217280,4217280,"North Penn School District, Pennsylvania",38724,496,1511,235,37213,526
9700000US4217310,4217310,"North Pocono School District, Pennsylvania",7812,261,534,123,7278,280
9700000US4217370,4217370,"Northampton Area School District, Pennsylvania",16191,341,1035,230,15156,381
9700000US4217430,4217430,"Riverside Beaver County School District, Pennsylvania",4198,203,417,140,3781,206
9700000US4217460,4217460,"Northeast Bradford School District, Pennsylvania",2115,92,144,50,1971,98
9700000US4217520,4217520,"Northeastern York School District, Pennsylvania",8689,307,677,173,8012,339
9700000US4217580,4217580,"Northern Bedford County School District, Pennsylvania",2476,86,219,45,2257,90
9700000US4217610,4217610,"Northern Cambria School District, Pennsylvania",3193,115,594,118,2599,147
9700000US4217640,4217640,"Northern Lebanon School District, Pennsylvania",6492,187,405,108,6087,211
9700000US4217670,4217670,"Northern Lehigh School District, Pennsylvania",5127,137,491,141,4636,190
9700000US4217700,4217700,"Northern Potter School District, Pennsylvania",1764,85,235,43,1529,81
9700000US4217730,4217730,"Northern Tioga School District, Pennsylvania",6006,199,853,98,5153,186
